,Unnamed: 0,datetime,city,state,country,shape,duration (seconds)
0,12,1970-10-10 16:00:00,bellmore,ny,us,disk,1800.0
1,27,1978-10-10 02:00:00,elmont,ny,us,rectangle,300.0
2,28,1979-10-10 00:00:00,poughkeepsie,ny,us,chevron,900.0
3,38,1984-10-10 22:00:00,white plains,ny,us,formation,20.0
4,40,1986-10-10 20:00:00,holmes/pawling,ny,,chevron,180.0
5,59,1994-10-10 18:30:00,burnt hills,ny,us,rectangle,120.0
6,77,1998-10-10 20:30:00,nyc/westchester area,ny,,triangle,60.0
7,137,2004-10-10 19:00:00,chateauqua,ny,,formation,1200.0
8,138,2004-10-10 19:00:00,ripley,ny,us,circle,900.0
9,170,2007-10-10 13:00:00,owego,ny,us,triangle,10800.0
10,187,2008-10-10 02:00:00,slingerlands,ny,us,circle,240.0
11,190,2008-10-10 06:00:00,albany,ny,us,oval,45.0
12,212,2010-10-10 01:00:00,orchard park,ny,us,light,7200.0
13,227,2010-10-10 21:30:00,albany,ny,us,circle,10.0
14,230,2011-10-10 00:00:00,troy,ny,us,triangle,7200.0
15,233,2011-10-10 10:30:00,ashville,ny,us,circle,60.0
16,250,2012-10-10 19:40:00,syracuse,ny,us,light,900.0
17,251,2012-10-10 19:45:00,syracuse,ny,us,circle,240.0
18,254,2012-10-10 20:15:00,new york city (bronx),ny,us,disk,1800.0
19,264,2012-10-10 23:01:00,suffern,ny,us,cylinder,20.0
20,293,1995-10-11 18:30:00,new york city (brooklyn),ny,us,,720.0
21,309,1999-10-11 20:15:00,portville,ny,us,oval,30.0
22,310,1999-10-11 20:15:00,portville,ny,us,oval,30.0
23,311,1999-10-11 20:15:00,portville,ny,us,oval,60.0
24,312,1999-10-11 20:15:00,portville,ny,us,oval,60.0
25,322,2000-10-11 20:00:00,watertown,ny,us,light,30.0
26,338,2003-10-11 01:29:00,new york city (manhattan),ny,us,egg,120.0
27,359,2004-10-11 23:15:00,williamsville,ny,us,light,540.0
28,388,2006-10-12 00:00:00,rome,ny,us,oval,120.0
29,411,2009-10-11 02:45:00,deer park,ny,us,other,10800.0
30,423,2010-10-11 04:50:00,albany,ny,us,oval,120.0
31,442,2012-10-11 07:00:00,bablyon,ny,,disk,120.0
32,446,2012-10-11 19:45:00,saratoga springs,ny,us,circle,300.0
33,471,2013-10-11 21:00:00,fayetteville,ny,us,chevron,90.0
34,497,1966-10-01 20:00:00,buffalo,ny,us,light,240.0
35,501,1967-10-01 02:00:00,chaffee,ny,us,sphere,600.0
36,510,1970-10-01 16:00:00,new york city (brooklyn),ny,us,disk,180.0
37,514,1970-10-01 21:00:00,new york city (brooklyn),ny,us,disk,300.0
38,538,1976-10-01 19:00:00,fairport,ny,us,disk,600.0
39,548,1979-10-01 21:00:00,buffalo,ny,us,light,10.0
40,583,1989-10-01 20:00:00,pawling,ny,us,oval,300.0
41,588,1990-10-01 22:15:00,jamestown,ny,us,light,1200.0
42,604,1994-10-01 13:13:00,new york city,ny,us,disk,15.0
43,618,1995-10-01 22:00:00,wantagh,ny,us,triangle,60.0
44,624,1996-10-01 08:00:00,new york city (manhattan),ny,us,oval,300.0
45,630,1997-10-01 03:00:00,jefferson,ny,us,other,300.0
46,661,1999-10-01 17:00:00,new york city (manhattan),ny,us,unknown,5.0
47,684,2000-10-01 23:15:00,jones beach,ny,us,diamond,900.0
48,690,2001-10-01 21:00:00,lafayette,ny,us,changing,180.0
49,692,2001-10-01 22:30:00,albany,ny,us,flash,2.0
50,710,2002-10-01 07:30:00,kingston,ny,us,cigar,600.0
51,718,2002-10-01 19:20:00,new york city (staten island),ny,us,egg,300.0
52,719,2002-10-01 19:50:00,new york city (staten island),ny,us,light,900.0
53,723,2002-10-01 23:20:00,new york city,ny,us,changing,180.0
54,801,2006-10-01 12:30:00,new york city (bronx),ny,us,rectangle,120.0
55,816,2006-10-01 21:00:00,orchard park,ny,us,unknown,37800.0
56,865,2007-10-01 21:00:00,deer park,ny,us,other,240.0
57,871,2008-10-01 01:00:00,merrick,ny,us,disk,5.0
58,923,2011-10-01 00:00:00,staten island (over),ny,,unknown,600.0
59,975,2013-10-01 19:20:00,webster,ny,us,sphere,1800.0
60,982,2013-10-01 22:45:00,middle island (long island),ny,us,fireball,1200.0
61,988,1971-10-12 22:00:00,menands (albany),ny,us,chevron,180.0
62,999,1994-10-12 11:55:00,schenectady,ny,us,other,120.0
63,1059,2003-10-12 02:00:00,albany,ny,us,unknown,30.0
64,1073,2004-10-12 12:55:00,utica,ny,us,light,45.0
65,1101,2007-10-12 05:30:00,new york city,ny,us,light,1800.0
66,1112,2008-10-12 05:20:00,islip (central),ny,us,light,35.0
67,1187,2013-10-12 04:30:00,cambridge,ny,us,light,7200.0
68,1190,2013-10-12 13:00:00,owego,ny,us,disk,120.0
69,1232,1995-10-13 06:30:00,new york city,ny,us,light,60.0
70,1251,2000-10-13 01:00:00,forest hills,ny,us,circle,60.0
71,1270,2001-10-13 00:45:00,poughkeepsie,ny,us,triangle,2700.0
72,1295,2003-10-13 20:00:00,binghamton,ny,us,sphere,30.0
73,1316,2004-10-13 23:50:00,new rochelle,ny,us,rectangle,300.0
74,1376,2010-10-13 04:45:00,rochester,ny,us,light,3600.0
75,1454,2013-10-13 19:00:00,irondequoit,ny,us,fireball,600.0
76,1474,2013-10-13 22:55:00,new york city (brooklyn),ny,us,sphere,420.0
77,1495,1997-10-14 16:00:00,syracuse (north),ny,us,unknown,30.0
78,1502,1999-10-14 14:00:00,yonkers,ny,us,light,300.0
79,1589,2006-10-14 02:25:00,new york city (yonkers),ny,us,teardrop,120.0
80,1614,2008-10-14 20:00:00,boonville,ny,us,formation,180.0
81,1623,2009-10-14 19:05:00,syracuse,ny,us,cross,180.0
82,1625,2009-10-14 21:37:00,new york city,ny,us,oval,1080.0
83,1682,2012-10-14 23:00:00,nanuet,ny,us,light,1.5
84,1713,1955-10-15 20:00:00,rhinebeck,ny,us,light,2400.0
85,1716,1957-10-15 02:00:00,new york city (queens),ny,us,,10800.0
86,1723,1965-10-15 15:00:00,new rochelle,ny,us,sphere,2.0
87,1729,1966-10-15 20:00:00,utica,ny,us,triangle,180.0
88,1758,1973-10-15 17:30:00,chazy,ny,us,light,300.0
89,1776,1975-10-15 18:00:00,nesconset,ny,us,disk,180.0
90,1778,1975-10-15 19:00:00,monroe,ny,us,disk,60.0
91,1784,1976-10-15 19:30:00,rochester,ny,us,unknown,10.0
92,1819,1982-10-15 20:00:00,north hudson,ny,us,disk,120.0
93,1853,1987-10-15 21:00:00,yonkers,ny,us,rectangle,1800.0
94,1854,1987-10-15 22:00:00,eastchester,ny,us,triangle,180.0
95,1875,1990-10-15 00:15:00,endwell,ny,us,formation,1200.0
96,1897,1994-10-15 13:00:00,stone ridge,ny,us,oval,30.0
97,1900,1994-10-15 18:00:00,ithaca,ny,us,light,10800.0
98,1933,1997-10-15 15:00:00,new york city (staten island),ny,us,cylinder,120.0
99,1978,1999-10-15 12:30:00,old westbury,ny,us,disk,240.0
