Unnamed: 0.1,Unnamed: 0,datetime,city,state,country,shape,duration (seconds),year,month,day,hour,min,sec
874,24572.0,2010-01-04 02:40:00,glen spey,ny,us,flash,2100.0,2010,01,04,2,2,2100.0
884,24774.0,2010-01-05 17:43:00,new paltz,ny,us,triangle,45.0,2010,01,05,17,17,45.0
894,25117.0,2010-01-07 05:15:00,southampton,ny,us,formation,30.0,2010,01,07,5,5,30.0
903,25455.0,2010-01-09 21:30:00,buffalo,ny,us,light,2.0,2010,01,09,21,21,2.0
644,16792.0,2010-01-20 03:34:00,gowanda,ny,us,fireball,5.0,2010,01,20,3,3,5.0
645,16799.0,2010-01-20 19:00:00,poughkeepsie,ny,us,disk,900.0,2010,01,20,19,19,900.0
662,17545.0,2010-01-21 18:05:00,rochester,ny,us,circle,2400.0,2010,01,21,18,18,2400.0
732,19734.0,2010-01-22 23:20:00,peekskill,ny,us,unknown,30.0,2010,01,22,23,23,30.0
1055,29350.0,2010-02-04 06:15:00,spencerport,ny,us,disk,20.0,2010,02,04,6,6,20.0
1078,29956.0,2010-02-08 05:40:00,riverhead,ny,us,circle,120.0,2010,02,08,5,5,120.0
998,28088.0,2010-02-22 17:30:00,new york city (manhattan),ny,us,disk,15.0,2010,02,22,17,17,15.0
1256,34702.0,2010-03-04 23:45:00,ballston lake,ny,us,fireball,2.0,2010,03,04,23,23,2.0
1263,34848.0,2010-03-05 17:20:00,hicksville,ny,us,oval,90.0,2010,03,05,17,17,90.0
1274,35222.0,2010-03-07 21:17:00,liverpool,ny,us,changing,60.0,2010,03,07,21,21,60.0
1129,31208.0,2010-03-13 18:00:00,new york city (staten island),ny,us,sphere,3600.0,2010,03,13,18,18,3600.0
1152,31916.0,2010-03-16 15:30:00,hewlett,ny,us,sphere,45.0,2010,03,16,15,15,45.0
1153,31924.0,2010-03-16 23:30:00,little neck,ny,us,unknown,7200.0,2010,03,16,23,23,7200.0
1169,32090.0,2010-03-17 00:00:00,highland,ny,us,light,15.0,2010,03,17,0,0,15.0
1176,32403.0,2010-03-19 23:00:00,buffalo,ny,us,formation,10.0,2010,03,19,23,23,10.0
1460,41070.0,2010-04-09 22:00:00,plainview,ny,us,unknown,300.0,2010,04,09,22,22,300.0
1294,35734.0,2010-04-10 01:04:00,new york city (queens),ny,us,oval,900.0,2010,04,10,1,1,900.0
1297,35900.0,2010-04-11 21:00:00,hudson,ny,us,triangle,600.0,2010,04,11,21,21,600.0
1312,36351.0,2010-04-12 00:00:00,camillus,ny,us,cigar,600.0,2010,04,12,0,0,600.0
1322,36682.0,2010-04-14 06:30:00,andover,ny,us,cylinder,20.0,2010,04,14,6,6,20.0
1323,36683.0,2010-04-14 09:50:00,auburn,ny,us,changing,55.0,2010,04,14,9,9,55.0
1324,36691.0,2010-04-14 22:00:00,auburn,ny,us,changing,60.0,2010,04,14,22,22,60.0
1349,37466.0,2010-04-17 22:12:00,angola,ny,us,triangle,3600.0,2010,04,17,22,22,3600.0
1391,38527.0,2010-04-22 23:00:00,lagrangeville,ny,us,cigar,300.0,2010,04,22,23,23,300.0
1409,38880.0,2010-04-24 03:00:00,east islip,ny,us,sphere,60.0,2010,04,24,3,3,60.0
1431,39750.0,2010-04-29 03:00:00,massapequa,ny,us,light,300.0,2010,04,29,3,3,300.0
1509,42255.0,2010-05-14 21:12:00,saugerties,ny,us,light,180.0,2010,05,14,21,21,180.0
1545,43217.0,2010-05-19 12:00:00,new york city (staten island),ny,us,disk,180.0,2010,05,19,12,12,180.0
1562,43884.0,2010-05-22 11:58:00,howard beach,ny,us,circle,1800.0,2010,05,22,11,11,1800.0
1616,45102.0,2010-05-30 10:30:00,watertown,ny,us,circle,7200.0,2010,05,30,10,10,7200.0
1617,45242.0,2010-05-31 02:50:00,mastic,ny,us,circle,3.0,2010,05,31,2,2,3.0
1747,47917.0,2010-06-01 01:00:00,massapequa,ny,us,light,45.0,2010,06,01,1,1,45.0
1748,47919.0,2010-06-01 05:00:00,buffalo,ny,us,formation,10.0,2010,06,01,5,5,10.0
1749,47921.0,2010-06-01 17:40:00,new york city (queens village),ny,us,cigar,240.0,2010,06,01,17,17,240.0
1750,47922.0,2010-06-01 19:05:00,new york city (manhattan),ny,us,other,300.0,2010,06,01,19,19,300.0
1866,50871.0,2010-06-02 09:30:00,garden city,ny,us,cigar,900.0,2010,06,02,9,9,900.0
2003,53966.0,2010-06-06 02:00:00,new york city (brooklyn),ny,us,sphere,3600.0,2010,06,06,2,2,3600.0
1756,48133.0,2010-06-12 00:00:00,rochester,ny,us,triangle,1200.0,2010,06,12,0,0,1200.0
1765,48511.0,2010-06-14 22:15:00,monroe,ny,us,unknown,30.0,2010,06,14,22,22,30.0
1835,50204.0,2010-06-19 22:50:00,watertown,ny,us,other,300.0,2010,06,19,22,22,300.0
1859,50714.0,2010-06-21 01:00:00,new york city (brooklyn),ny,us,light,5.0,2010,06,21,1,1,5.0
1888,51329.0,2010-06-23 23:30:00,chappaqua,ny,us,sphere,120.0,2010,06,23,23,23,120.0
1908,51790.0,2010-06-25 23:35:00,utica,ny,us,light,60.0,2010,06,25,23,23,60.0
1928,52332.0,2010-06-28 16:00:00,lyndonville,ny,us,circle,15.0,2010,06,28,16,16,15.0
2087,55564.0,2010-07-01 23:00:00,lackawanna,ny,us,triangle,300.0,2010,07,01,23,23,300.0
2363,61375.0,2010-07-03 21:30:00,watkins glen,ny,us,light,360.0,2010,07,03,21,21,360.0
2384,62184.0,2010-07-04 22:00:00,wading river? franklin sq,ny,,oval,300.0,2010,07,04,22,22,300.0
2386,62219.0,2010-07-04 22:54:00,auburn,ny,us,triangle,10.0,2010,07,04,22,22,10.0
2385,62218.0,2010-07-04 22:54:00,auburn,ny,us,triangle,10.0,2010,07,04,22,22,10.0
2388,62228.0,2010-07-04 23:00:00,hempstead,ny,us,light,600.0,2010,07,04,23,23,600.0
2387,62226.0,2010-07-04 23:00:00,grand island,ny,,fireball,3.0,2010,07,04,23,23,3.0
2389,62244.0,2010-07-04 23:10:00,wassaic,ny,us,circle,60.0,2010,07,04,23,23,60.0
2390,62248.0,2010-07-04 23:30:00,cortland,ny,us,fireball,300.0,2010,07,04,23,23,300.0
2421,62968.0,2010-07-05 23:00:00,cooperstown,ny,us,light,5.0,2010,07,05,23,23,5.0
2422,62972.0,2010-07-05 23:30:00,lynbrook,ny,us,oval,120.0,2010,07,05,23,23,120.0
2444,63837.0,2010-07-08 23:13:00,sayville,ny,us,flash,1800.0,2010,07,08,23,23,1800.0
2452,64038.0,2010-07-09 21:45:00,rome,ny,us,triangle,900.0,2010,07,09,21,21,900.0
2453,64045.0,2010-07-09 22:12:00,selden,ny,us,circle,30.0,2010,07,09,22,22,30.0
2040,54808.0,2010-07-10 21:30:00,springwater,ny,us,fireball,300.0,2010,07,10,21,21,300.0
2041,54832.0,2010-07-10 23:20:00,orangeburg,ny,us,cylinder,60.0,2010,07,10,23,23,60.0
2042,54834.0,2010-07-10 23:50:00,east hampton,ny,us,circle,30.0,2010,07,10,23,23,30.0
2055,55031.0,2010-07-11 01:00:00,fairport,ny,us,triangle,900.0,2010,07,11,1,1,900.0
2056,55042.0,2010-07-11 18:00:00,smithtown,ny,us,flash,900.0,2010,07,11,18,18,900.0
2057,55047.0,2010-07-11 21:15:00,sag harbor,ny,us,light,120.0,2010,07,11,21,21,120.0
2135,56353.0,2010-07-14 21:55:00,rochester,ny,us,light,30.0,2010,07,14,21,21,30.0
2178,57639.0,2010-07-17 19:15:00,west seneca,ny,,sphere,30.0,2010,07,17,19,19,30.0
2179,57642.0,2010-07-17 21:38:00,tonawanda,ny,us,circle,600.0,2010,07,17,21,21,600.0
2180,57656.0,2010-07-17 23:30:00,brookhaven,ny,us,light,120.0,2010,07,17,23,23,120.0
2217,58426.0,2010-07-20 00:35:00,albany,ny,us,other,2.0,2010,07,20,0,0,2.0
2218,58428.0,2010-07-20 01:00:00,selkirk,ny,us,unknown,60.0,2010,07,20,1,1,60.0
2219,58435.0,2010-07-20 12:35:00,appleton,ny,us,light,45.0,2010,07,20,12,12,45.0
2273,59503.0,2010-07-24 18:30:00,new york city,ny,us,sphere,120.0,2010,07,24,18,18,120.0
2274,59509.0,2010-07-24 22:55:00,minetto,ny,us,triangle,120.0,2010,07,24,22,22,120.0
2355,61132.0,2010-07-31 22:10:00,tarrytown,ny,us,circle,30.0,2010,07,31,22,22,30.0
2834,71904.0,2010-08-06 18:00:00,south cairo,ny,us,triangle,120.0,2010,08,06,18,18,120.0
2850,72155.0,2010-08-07 20:20:00,baiting h,ny,,disk,120.0,2010,08,07,20,20,120.0
2851,72156.0,2010-08-07 20:45:00,cooperstown,ny,us,fireball,180.0,2010,08,07,20,20,180.0
2852,72157.0,2010-08-07 21:00:00,south cairo,ny,us,light,180.0,2010,08,07,21,21,180.0
2872,72691.0,2010-08-09 09:00:00,ridgewood,ny,us,other,40.0,2010,08,09,9,9,40.0
2873,72692.0,2010-08-09 15:00:00,new york city (central park),ny,us,circle,30.0,2010,08,09,15,15,30.0
2473,64351.0,2010-08-10 00:00:00,minoa,ny,us,other,20.0,2010,08,10,0,0,20.0
2529,65781.0,2010-08-13 22:45:00,pompey,ny,us,formation,120.0,2010,08,13,22,22,120.0
2586,67037.0,2010-08-16 20:15:00,circleville,ny,us,light,60.0,2010,08,16,20,20,60.0
2600,67515.0,2010-08-18 23:00:00,scotchtown,ny,us,unknown,5.0,2010,08,18,23,23,5.0
2634,68151.0,2010-08-20 01:00:00,alexandria,ny,,sphere,1800.0,2010,08,20,1,1,1800.0
2648,68437.0,2010-08-21 22:00:00,franklin square,ny,us,fireball,1200.0,2010,08,21,22,22,1200.0
2734,70057.0,2010-08-27 20:55:00,binghamton,ny,us,light,180.0,2010,08,27,20,20,180.0
2735,70065.0,2010-08-27 23:30:00,harriman state park,ny,,light,4.0,2010,08,27,23,23,4.0
2750,70281.0,2010-08-28 18:10:00,ardsley,ny,us,oval,180.0,2010,08,28,18,18,180.0
2751,70287.0,2010-08-28 20:30:00,ardsley,ny,us,rectangle,60.0,2010,08,28,20,20,60.0
2752,70294.0,2010-08-28 21:30:00,valatie,ny,us,light,30.0,2010,08,28,21,21,30.0
2753,70300.0,2010-08-28 22:30:00,rochester,ny,us,fireball,600.0,2010,08,28,22,22,600.0
2754,70302.0,2010-08-28 23:30:00,ardsley,ny,us,other,30.0,2010,08,28,23,23,30.0
2764,70478.0,2010-08-29 16:00:00,irondequoit,ny,us,cylinder,40.0,2010,08,29,16,16,40.0
2765,70481.0,2010-08-29 21:00:00,cutchogue,ny,us,unknown,3600.0,2010,08,29,21,21,3600.0
2777,70706.0,2010-08-30 01:30:00,mountaindale,ny,,circle,7200.0,2010,08,30,1,1,7200.0
2798,70965.0,2010-08-31 22:00:00,new york city (queens),ny,us,light,180.0,2010,08,31,22,22,180.0
3147,78981.0,2010-09-03 21:51:00,webster,ny,us,triangle,3000.0,2010,09,03,21,21,3000.0
3156,79192.0,2010-09-04 20:51:00,middletown,ny,us,unknown,3.0,2010,09,04,20,20,3.0
3157,79199.0,2010-09-04 22:00:00,lindenhurst,ny,us,unknown,90.0,2010,09,04,22,22,90.0
